Internal Name,Research,ID
HallowedSeeds,25,369
EbonsandBlock,100,370
CobaltHat,1,371
CobaltHelmet,1,372
CobaltMask,1,373
CobaltBreastplate,1,374
CobaltLeggings,1,375
MythrilHood,1,376
MythrilHelmet,1,377
MythrilHat,1,378
MythrilChainmail,1,379
MythrilGreaves,1,380
CobaltBar,25,381
MythrilBar,25,382
CobaltChainsaw,1,383
MythrilChainsaw,1,384
CobaltDrill,1,385
MythrilDrill,1,386
AdamantiteChainsaw,1,387
AdamantiteDrill,1,388
DaoofPow,1,389
MythrilHalberd,1,390
AdamantiteBar,25,391
GlassWall,400,392
Compass,1,393
DivingGear,1,394
GPS,1,395
ObsidianHorseshoe,1,396
ObsidianShield,1,397
TinkerersWorkshop,1,398
CloudinaBalloon,1,399
AdamantiteHeadgear,1,400
AdamantiteHelmet,1,401
AdamantiteMask,1,402
AdamantiteBreastplate,1,403
AdamantiteLeggings,1,404
SpectreBoots,1,405
AdamantiteGlaive,1,406
Toolbelt,1,407
PearlsandBlock,100,408
PearlstoneBlock,100,409
MiningShirt,1,410
MiningPants,1,411
PearlstoneBrick,100,412
IridescentBrick,100,413
MudstoneBlock,100,414
CobaltBrick,100,415
MythrilBrick,100,416
PearlstoneBrickWall,400,417
IridescentBrickWall,400,418
MudstoneBrickWall,400,419
CobaltBrickWall,400,420
MythrilBrickWall,400,421
HolyWater,99,422
UnholyWater,99,423
SiltBlock,200,424
FairyBell,1,425
BreakerBlade,1,426
BlueTorch,100,427
RedTorch,100,428
GreenTorch,100,429
PurpleTorch,100,430
WhiteTorch,100,431
YellowTorch,100,432
DemonTorch,100,433
ClockworkAssaultRifle,1,434
CobaltRepeater,1,435
MythrilRepeater,1,436
DualHook,1,437
StarStatue,1,438
SwordStatue,1,439
SlimeStatue,1,440
GoblinStatue,1,441
ShieldStatue,1,442
BatStatue,1,443
FishStatue,1,444
BunnyStatue,1,445
SkeletonStatue,1,446
ReaperStatue,1,447
WomanStatue,1,448
ImpStatue,1,449
GargoyleStatue,1,450
GloomStatue,1,451
HornetStatue,1,452
BombStatue,1,453
CrabStatue,1,454
HammerStatue,1,455
PotionStatue,1,456
SpearStatue,1,457
CrossStatue,1,458
JellyfishStatue,1,459
BowStatue,1,460
BoomerangStatue,1,461
BootStatue,1,462
ChestStatue,1,463
BirdStatue,1,464
AxeStatue,1,465
CorruptStatue,1,466
TreeStatue,1,467
AnvilStatue,1,468
PickaxeStatue,1,469
MushroomStatue,1,470
EyeballStatue,1,471
PillarStatue,1,472
HeartStatue,1,473
PotStatue,1,474
SunflowerStatue,1,475
KingStatue,1,476
QueenStatue,1,477
PiranhaStatue,1,478
PlankedWall,400,479
WoodenBeam,50,480
AdamantiteRepeater,1,481
AdamantiteSword,1,482
CobaltSword,1,483
MythrilSword,1,484
MoonCharm,1,485
Ruler,1,486
CrystalBall,1,487
DiscoBall,1,488
SorcererEmblem,1,489
WarriorEmblem,1,490
RangerEmblem,1,491
DemonWings,1,492
AngelWings,1,493
MagicalHarp,1,494
RainbowRod,1,495
IceRod,1,496
NeptunesShell,1,497
Mannequin,1,498
GreaterHealingPotion,30,499
GreaterManaPotion,30,500
PixieDust,25,501
CrystalShard,25,502
ClownHat,1,503
ClownShirt,1,504
ClownPants,1,505
Flamethrower,1,506
Bell,1,507
Harp,1,508
Wrench,1,509
WireCutter,1,510
ActiveStoneBlock,100,511
InactiveStoneBlock,100,512
Lever,5,513
LaserRifle,1,514
CrystalBullet,99,515
HolyArrow,99,516
MagicDagger,1,517
CrystalStorm,1,518
CursedFlames,1,519
SoulofLight,25,520
SoulofNight,25,521
CursedFlame,25,522
CursedTorch,100,523
AdamantiteForge,1,524
MythrilAnvil,1,525
UnicornHorn,5,526
DarkShard,1,527
LightShard,1,528
RedPressurePlate,5,529
Wire,100,530
SpellTome,1,531
StarCloak,1,532
Megashark,1,533
Shotgun,1,534
PhilosophersStone,1,535
TitanGlove,1,536
CobaltNaginata,1,537
Switch,5,538
DartTrap,5,539
Boulder,5,540
GreenPressurePlate,5,541
GrayPressurePlate,5,542
BrownPressurePlate,5,543
MechanicalEye,3,544
CursedArrow,99,545
CursedBullet,99,546
SoulofFright,25,547
SoulofMight,25,548
SoulofSight,25,549
Gungnir,1,550
HallowedPlateMail,1,551
HallowedGreaves,1,552
HallowedHelmet,1,553
CrossNecklace,1,554
ManaFlower,1,555
MechanicalWorm,3,556
MechanicalSkull,3,557
HallowedHeadgear,1,558
HallowedMask,1,559
SlimeCrown,3,560
LightDisc,1,561
MusicBoxOverworldDay,1,562
MusicBoxEerie,1,563
MusicBoxNight,1,564
MusicBoxTitle,1,565
MusicBoxUnderground,1,566
MusicBoxBoss1,1,567
MusicBoxJungle,1,568
MusicBoxCorruption,1,569
MusicBoxUndergroundCorruption,1,570
MusicBoxTheHallow,1,571
MusicBoxBoss2,1,572
MusicBoxUndergroundHallow,1,573
MusicBoxBoss3,1,574
SoulofFlight,25,575
MusicBox,1,576
DemoniteBrick,100,577
HallowedRepeater,1,578
Drax,1,579
Explosives,5,580
InletPump,1,581
OutletPump,1,582
Timer1Second,1,583
Timer3Second,1,584
Timer5Second,1,585
CandyCaneBlock,100,586
CandyCaneWall,400,587
SantaHat,1,588
SantaShirt,1,589
SantaPants,1,590
GreenCandyCaneBlock,100,591
GreenCandyCaneWall,400,592
SnowBlock,100,593
SnowBrick,100,594
SnowBrickWall,400,595
BlueLight,25,596
RedLight,25,597
GreenLight,25,598
BluePresent,n/a,599
GreenPresent,n/a,600
YellowPresent,n/a,601
SnowGlobe,3,602
Carrot,1,603
AdamantiteBeam,100,604
AdamantiteBeamWall,400,605
DemoniteBrickWall,400,606
SandstoneBrick,100,607
SandstoneBrickWall,400,608
EbonstoneBrick,100,609
EbonstoneBrickWall,400,610
RedStucco,100,611
YellowStucco,100,612
GreenStucco,100,613
GrayStucco,100,614
RedStuccoWall,400,615
YellowStuccoWall,400,616
GreenStuccoWall,400,617
GrayStuccoWall,400,618
Ebonwood,100,619
RichMahogany,100,620
Pearlwood,100,621
EbonwoodWall,400,622
RichMahoganyWall,400,623
PearlwoodWall,400,624
EbonwoodChest,1,625
RichMahoganyChest,1,626
PearlwoodChest,1,627
EbonwoodChair,1,628
RichMahoganyChair,1,629
PearlwoodChair,1,630
EbonwoodPlatform,200,631
RichMahoganyPlatform,200,632
PearlwoodPlatform,200,633
BonePlatform,200,634
EbonwoodWorkBench,1,635
RichMahoganyWorkBench,1,636
PearlwoodWorkBench,1,637
EbonwoodTable,1,638
RichMahoganyTable,1,639
PearlwoodTable,1,640
EbonwoodPiano,1,641
RichMahoganyPiano,1,642
PearlwoodPiano,1,643
EbonwoodBed,1,644
RichMahoganyBed,1,645
PearlwoodBed,1,646
EbonwoodDresser,1,647
RichMahoganyDresser,1,648
PearlwoodDresser,1,649
EbonwoodDoor,1,650
RichMahoganyDoor,1,651
PearlwoodDoor,1,652
EbonwoodSword,1,653
EbonwoodHammer,1,654
EbonwoodBow,1,655
RichMahoganySword,1,656
RichMahoganyHammer,1,657
RichMahoganyBow,1,658
PearlwoodSword,1,659
PearlwoodHammer,1,660
PearlwoodBow,1,661
RainbowBrick,100,662
RainbowBrickWall,400,663
IceBlock,100,664
RedsWings,1,665
RedsHelmet,1,666
RedsBreastplate,1,667
RedsLeggings,1,668
Fish,1,669
IceBoomerang,1,670
Keybrand,1,671
Cutlass,1,672
BorealWoodWorkBench,1,673
TrueExcalibur,1,674
TrueNightsEdge,1,675
Frostbrand,1,676
BorealWoodTable,1,677
RedPotion,10,678
TacticalShotgun,1,679
IvyChest,1,680
IceChest,1,681
Marrow,1,682
UnholyTrident,1,683
FrostHelmet,1,684
FrostBreastplate,1,685
FrostLeggings,1,686
TinHelmet,1,687
TinChainmail,1,688
TinGreaves,1,689
LeadHelmet,1,690
LeadChainmail,1,691
LeadGreaves,1,692
TungstenHelmet,1,693
TungstenChainmail,1,694
TungstenGreaves,1,695
PlatinumHelmet,1,696
PlatinumChainmail,1,697
PlatinumGreaves,1,698
TinOre,100,699
LeadOre,100,700
TungstenOre,100,701
PlatinumOre,100,702
TinBar,25,703
LeadBar,25,704
TungstenBar,25,705
PlatinumBar,25,706
TinWatch,1,707
TungstenWatch,1,708
PlatinumWatch,1,709
TinChandelier,1,710
TungstenChandelier,1,711
PlatinumChandelier,1,712
PlatinumCandle,1,713
PlatinumCandelabra,1,714
PlatinumCrown,1,715
LeadAnvil,1,716
TinBrick,100,717
TungstenBrick,100,718
PlatinumBrick,100,719
TinBrickWall,400,720
TungstenBrickWall,400,721
PlatinumBrickWall,400,722
BeamSword,1,723
IceBlade,1,724
IceBow,1,725
FrostStaff,1,726
WoodHelmet,1,727
WoodBreastplate,1,728
WoodGreaves,1,729
EbonwoodHelmet,1,730
EbonwoodBreastplate,1,731
EbonwoodGreaves,1,732
RichMahoganyHelmet,1,733
RichMahoganyBreastplate,1,734
RichMahoganyGreaves,1,735
PearlwoodHelmet,1,736
PearlwoodBreastplate,1,737
PearlwoodGreaves,1,738
AmethystStaff,1,739
TopazStaff,1,740
SapphireStaff,1,741
EmeraldStaff,1,742
RubyStaff,1,743
DiamondStaff,1,744
GrassWall,400,745
JungleWall,400,746
FlowerWall,400,747
Jetpack,1,748
ButterflyWings,1,749
CactusWall,400,750
Cloud,100,751
CloudWall,400,752
Seaweed,1,753
RuneHat,1,754
RuneRobe,1,755
MushroomSpear,1,756
TerraBlade,1,757
GrenadeLauncher,1,758
RocketLauncher,1,759
ProximityMineLauncher,1,760
FairyWings,1,761
SlimeBlock,100,762
FleshBlock,100,763
MushroomWall,400,764
RainCloud,100,765
BoneBlock,100,766
FrozenSlimeBlock,100,767
BoneBlockWall,400,768
SlimeBlockWall,400,769
FleshBlockWall,400,770
RocketI,99,771
RocketII,99,772
RocketIII,99,773
RocketIV,99,774
AsphaltBlock,100,775
CobaltPickaxe,1,776
MythrilPickaxe,1,777
AdamantitePickaxe,1,778
Clentaminator,1,779
GreenSolution,99,780
BlueSolution,99,781
PurpleSolution,99,782
DarkBlueSolution,99,783
RedSolution,99,784
HarpyWings,1,785
BoneWings,1,786
Hammush,1,787
NettleBurst,1,788
AnkhBanner,1,789
SnakeBanner,1,790
OmegaBanner,1,791
CrimsonHelmet,1,792
CrimsonScalemail,1,793
CrimsonGreaves,1,794
BloodButcherer,1,795
TendonBow,1,796
FleshGrinder,1,797
DeathbringerPickaxe,1,798
BloodLustCluster,1,799
TheUndertaker,1,800
TheMeatball,1,801
TheRottedFork,1,802
EskimoHood,1,803
EskimoCoat,1,804
EskimoPants,1,805
LivingWoodChair,1,806
CactusChair,1,807
BoneChair,1,808
FleshChair,1,809
MushroomChair,1,810
BoneWorkBench,1,811
CactusWorkBench,1,812
FleshWorkBench,1,813
MushroomWorkBench,1,814
SlimeWorkBench,1,815
CactusDoor,1,816
FleshDoor,1,817
MushroomDoor,1,818
LivingWoodDoor,1,819
BoneDoor,1,820
FlameWings,1,821
FrozenWings,1,822
GhostWings,1,823
SunplateBlock,100,824
DiscWall,400,825
SkywareChair,1,826
BoneTable,1,827
FleshTable,1,828
LivingWoodTable,1,829
SkywareTable,1,830
LivingWoodChest,1,831
LivingWoodWand,1,832
PurpleIceBlock,100,833
PinkIceBlock,100,834
RedIceBlock,100,835
CrimstoneBlock,100,836
SkywareDoor,1,837
SkywareChest,1,838
SteampunkHat,1,839
SteampunkShirt,1,840
SteampunkPants,1,841
BeeHat,1,842
BeeShirt,1,843
BeePants,1,844
WorldBanner,1,845
SunBanner,1,846
GravityBanner,1,847
PharaohsMask,1,848
Actuator,50,849
BlueWrench,1,850
GreenWrench,1,851
BluePressurePlate,5,852
YellowPressurePlate,5,853
DiscountCard,1,854
LuckyCoin,1,855
UnicornonaStick,1,856
SandstorminaBottle,1,857
BorealWoodSofa,1,858
BeachBall,1,859
CharmofMyths,1,860
MoonShell,1,861
StarVeil,1,862
WaterWalkingBoots,1,863
Tiara,1,864
PrincessDress,1,865
PharaohsRobe,1,866
GreenCap,1,867
MushroomCap,1,868
TamOShanter,1,869
MummyMask,1,870
MummyShirt,1,871
MummyPants,1,872
CowboyHat,1,873
CowboyJacket,1,874
CowboyPants,1,875
PirateHat,1,876
PirateShirt,1,877
PiratePants,1,878
VikingHelmet,1,879
CrimtaneOre,100,880
CactusSword,1,881
CactusPickaxe,1,882
IceBrick,100,883
IceBrickWall,400,884
AdhesiveBandage,1,885
ArmorPolish,1,886
Bezoar,1,887
Blindfold,1,888
FastClock,1,889
Megaphone,1,890
Nazar,1,891
Vitamins,1,892
TrifoldMap,1,893
CactusHelmet,1,894
CactusBreastplate,1,895
CactusLeggings,1,896
PowerGlove,1,897
LightningBoots,1,898
SunStone,1,899
MoonStone,1,900
ArmorBracing,1,901
MedicatedBandage,1,902
ThePlan,1,903
CountercurseMantra,1,904
CoinGun,1,905
LavaCharm,1,906
ObsidianWaterWalkingBoots,1,907
LavaWaders,1,908
PureWaterFountain,1,909
DesertWaterFountain,1,910
Shadewood,100,911
ShadewoodDoor,1,912
ShadewoodPlatform,200,913
ShadewoodChest,1,914
ShadewoodChair,1,915
ShadewoodWorkBench,1,916
ShadewoodTable,1,917
ShadewoodDresser,1,918
ShadewoodPiano,1,919
ShadewoodBed,1,920
ShadewoodSword,1,921
ShadewoodHammer,1,922
ShadewoodBow,1,923
ShadewoodHelmet,1,924
ShadewoodBreastplate,1,925
ShadewoodGreaves,1,926
ShadewoodWall,400,927
Cannon,1,928
Cannonball,25,929
FlareGun,1,930
Flare,99,931
BoneWand,1,932
LeafWand,1,933
FlyingCarpet,1,934
AvengerEmblem,1,935
MechanicalGlove,1,936
LandMine,5,937
PaladinsShield,1,938
WebSlinger,1,939
JungleWaterFountain,1,940
IcyWaterFountain,1,941
CorruptWaterFountain,1,942
CrimsonWaterFountain,1,943
HallowedWaterFountain,1,944
BloodWaterFountain,1,945
Umbrella,1,946
ChlorophyteOre,100,947
SteampunkWings,1,948
Snowball,99,949
IceSkates,1,950
SnowballLauncher,1,951
WebCoveredChest,1,952
ClimbingClaws,1,953
AncientIronHelmet,1,954
AncientGoldHelmet,1,955
AncientShadowHelmet,1,956
AncientShadowScalemail,1,957
AncientShadowGreaves,1,958
AncientNecroHelmet,1,959
AncientCobaltHelmet,1,960
AncientCobaltBreastplate,1,961
AncientCobaltLeggings,1,962
BlackBelt,1,963
Boomstick,1,964
Rope,100,965
Campfire,1,966
Marshmallow,10,967
MarshmallowonaStick,10,968
CookedMarshmallow,10,969
RedRocket,5,970
GreenRocket,5,971
BlueRocket,5,972
YellowRocket,5,973
IceTorch,100,974
ShoeSpikes,1,975
TigerClimbingGear,1,976
Tabi,1,977
PinkEskimoHood,1,978
PinkEskimoCoat,1,979
PinkEskimoPants,1,980
PinkThread,5,981
ManaRegenerationBand,1,982
SandstorminaBalloon,1,983
MasterNinjaGear,1,984
RopeCoil,10,985
Blowgun,1,986
BlizzardinaBottle,1,987
FrostburnArrow,99,988
EnchantedSword,1,989
PickaxeAxe,1,990
CobaltWaraxe,1,991
MythrilWaraxe,1,992
AdamantiteWaraxe,1,993
EatersBone,1,994
BlendOMatic,1,995
MeatGrinder,1,996
Extractinator,1,997
Solidifier,1,998
Amber,15,999
ConfettiGun,5,1000
ChlorophyteMask,1,1001
ChlorophyteHelmet,1,1002
ChlorophyteHeadgear,1,1003
ChlorophytePlateMail,1,1004
ChlorophyteGreaves,1,1005
ChlorophyteBar,25,1006
RedDye,3,1007
OrangeDye,3,1008
YellowDye,3,1009
LimeDye,3,1010
GreenDye,3,1011
TealDye,3,1012
CyanDye,3,1013
SkyBlueDye,3,1014
BlueDye,3,1015
PurpleDye,3,1016
VioletDye,3,1017
PinkDye,3,1018
RedandBlackDye,3,1019
OrangeandBlackDye,3,1020
YellowandBlackDye,3,1021
LimeandBlackDye,3,1022
GreenandBlackDye,3,1023
TealandBlackDye,3,1024
CyanandBlackDye,3,1025
SkyBlueandBlackDye,3,1026
BlueandBlackDye,3,1027
PurpleandBlackDye,3,1028
VioletandBlackDye,3,1029
PinkandBlackDye,3,1030
FlameDye,3,1031
FlameAndBlackDye,3,1032
GreenFlameDye,3,1033
GreenFlameAndBlackDye,3,1034
BlueFlameDye,3,1035
BlueFlameAndBlackDye,3,1036
SilverDye,3,1037
BrightRedDye,3,1038
BrightOrangeDye,3,1039
BrightYellowDye,3,1040
BrightLimeDye,3,1041
BrightGreenDye,3,1042
BrightTealDye,3,1043
BrightCyanDye,3,1044
BrightSkyBlueDye,3,1045
BrightBlueDye,3,1046
BrightPurpleDye,3,1047
BrightVioletDye,3,1048
BrightPinkDye,3,1049
BlackDye,3,1050
RedandSilverDye,3,1051
OrangeandSilverDye,3,1052
YellowandSilverDye,3,1053
LimeandSilverDye,3,1054
GreenandSilverDye,3,1055
TealandSilverDye,3,1056
CyanandSilverDye,3,1057
SkyBlueandSilverDye,3,1058
BlueandSilverDye,3,1059
PurpleandSilverDye,3,1060
VioletandSilverDye,3,1061
PinkandSilverDye,3,1062
IntenseFlameDye,3,1063
IntenseGreenFlameDye,3,1064
IntenseBlueFlameDye,3,1065
RainbowDye,3,1066
IntenseRainbowDye,3,1067
YellowGradientDye,3,1068
CyanGradientDye,3,1069
VioletGradientDye,3,1070
Paintbrush,1,1071
PaintRoller,1,1072
RedPaint,100,1073
OrangePaint,100,1074
YellowPaint,100,1075
LimePaint,100,1076
GreenPaint,100,1077
TealPaint,100,1078
CyanPaint,100,1079
SkyBluePaint,100,1080
BluePaint,100,1081
PurplePaint,100,1082
VioletPaint,100,1083
PinkPaint,100,1084
DeepRedPaint,100,1085
DeepOrangePaint,100,1086
DeepYellowPaint,100,1087
DeepLimePaint,100,1088
DeepGreenPaint,100,1089
DeepTealPaint,100,1090
DeepCyanPaint,100,1091
DeepSkyBluePaint,100,1092
DeepBluePaint,100,1093
DeepPurplePaint,100,1094
DeepVioletPaint,100,1095
DeepPinkPaint,100,1096
BlackPaint,100,1097
WhitePaint,100,1098
GrayPaint,100,1099
PaintScraper,1,1100
LihzahrdBrick,100,1101
LihzahrdBrickWall,400,1102
SlushBlock,200,1103
PalladiumOre,100,1104
OrichalcumOre,100,1105
TitaniumOre,100,1106
TealMushroom,3,1107
GreenMushroom,3,1108
SkyBlueFlower,3,1109
YellowMarigold,3,1110
BlueBerries,3,1111
LimeKelp,3,1112
PinkPricklyPear,3,1113
OrangeBloodroot,3,1114
RedHusk,3,1115
CyanHusk,3,1116
VioletHusk,3,1117
PurpleMucos,3,1118
BlackInk,3,1119
DyeVat,1,1120
BeeGun,1,1121
PossessedHatchet,1,1122
BeeKeeper,1,1123
Hive,100,1124
HoneyBlock,100,1125
HiveWall,400,1126
CrispyHoneyBlock,100,1127
HoneyBucket,1,1128
HiveWand,1,1129
Beenade,99,1130
GravityGlobe,1,1131
HoneyComb,1,1132
Abeemination,3,1133
BottledHoney,30,1134
RainHat,1,1135
RainCoat,1,1136
LihzahrdDoor,1,1137
DungeonDoor,1,1138
LeadDoor,1,1139
IronDoor,1,1140
TempleKey,1,1141
LihzahrdChest,1,1142
LihzahrdChair,1,1143
LihzahrdTable,1,1144
LihzahrdWorkBench,1,1145
SuperDartTrap,5,1146
FlameTrap,5,1147
SpikyBallTrap,5,1148
SpearTrap,5,1149
WoodenSpike,100,1150
LihzahrdPressurePlate,5,1151
LihzahrdStatue,1,1152
LihzahrdWatcherStatue,1,1153
LihzahrdGuardianStatue,1,1154
WaspGun,1,1155
PiranhaGun,1,1156
PygmyStaff,1,1157
PygmyNecklace,1,1158
TikiMask,1,1159
TikiShirt,1,1160
